A1,A2,A3,A4,A5,A6,B1,B1_1,B1_2,B1_3,B1_4,B1_5,B2,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,C1,C2,C3,D1,D2,E1,E2
male,18-34,secondary,high,region1,Rural,5,FALSE,FALSE,FALSE,FALSE,TRUE,1 4 5,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,2,4,95,22,NA,I would say keeping active outdoors as much as I can
male,35-54,primary,middle,region2,Rural,5,FALSE,FALSE,FALSE,FALSE,TRUE,1 7 8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,2,4,26,25,NA,I often find myself keeping active outdoors and would recommend it
male,55+,secondary,high,region3,Urban,2 4 5,FALSE,TRUE,FALSE,TRUE,TRUE,1 2 6,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,5,7,24,NA,Most of the time I learning new things as much as I can
female,35-54,secondary,middle,region2,Rural,1 4 5,TRUE,FALSE,FALSE,TRUE,TRUE,4 6 8,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3,3,5,32,22,Dissatisfied,I often find myself reading in my spare time whenever possible
male,18-34,tertiary or higher,middle,region1,Rural,4 5,FALSE,FALSE,FALSE,TRUE,TRUE,4 5 7,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3,1,1,67,41,Neutral,Personally I think learning new things though it can be difficult
female,18-34,primary,low,region2,Rural,1 3,TRUE,FALSE,TRUE,FALSE,FALSE,3 6 7,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,3,5,3,111,46,Strongly dissatisfied,Personally I think keeping active outdoors on a regular basis
male,55+,tertiary or higher,high,region3,Urban,5,FALSE,FALSE,FALSE,FALSE,TRUE,5 7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,2,5,29,21,NA,Personally I think travelling when I can on a regular basis
female,18-34,primary,high,region1,Rural,1 2 4,TRUE,TRUE,FALSE,TRUE,FALSE,3 6,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,4,4,1,71,26,Strongly dissatisfied,I often find myself meeting up with friends though it can be difficult
female,18-34,secondary,middle,region3,Urban,1 4,TRUE,FALSE,FALSE,TRUE,FALSE,1 2 7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,4,4,32,41,NA,Most of the time I spending time with family more than I used to
male,35-54,secondary,low,region3,Urban,5,FALSE,FALSE,FALSE,FALSE,TRUE,1 4 7,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3,3,2,50,35,NA,I really enjoy cooking at home though it can be difficult
male,35-54,secondary,low,region1,Rural,4 5,FALSE,FALSE,FALSE,TRUE,TRUE,5 7 8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,2,3,5,20,25,NA,I would say meeting up with friends depending on the season
female,18-34,tertiary or higher,low,region3,Urban,1 3,TRUE,FALSE,TRUE,FALSE,FALSE,3 6,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,4,4,3,116,42,NA,I would say spending time with family even if it takes effort
female,35-54,tertiary or higher,low,region2,Rural,1 4 5,TRUE,FALSE,FALSE,TRUE,TRUE,3 6 8,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,4,5,2,60,25,Dissatisfied,Most of the time I staying on top of my health even if it takes effort
female,35-54,secondary,middle,region3,Urban,1 3 4,TRUE,FALSE,TRUE,TRUE,FALSE,3 6 7,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,5,2,28,38,NA,I really enjoy reading in my spare time more than I used to
male,55+,tertiary or higher,high,region3,Urban,2 5,FALSE,TRUE,FALSE,FALSE,TRUE,4 5 7,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3,1,1,26,9,Neutral,I often find myself meeting up with friends when time allows
female,18-34,tertiary or higher,low,region3,Urban,1 3 4,TRUE,FALSE,TRUE,TRUE,FALSE,4 6 7,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,5,5,4,71,48,Strongly dissatisfied,I really enjoy staying on top of my health when time allows
male,35-54,tertiary or higher,low,region3,Urban,3 4,FALSE,FALSE,TRUE,TRUE,FALSE,2 4 5,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,3,2,67,23,Neutral,I really enjoy managing my schedule and find it rewarding
male,18-34,secondary,middle,region3,Urban,2 5,FALSE,TRUE,FALSE,FALSE,TRUE,1 4 5,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,3,5,68,18,Strongly dissatisfied,Personally I think spending time with family more than I used to
male,18-34,tertiary or higher,low,region3,Urban,2 5,FALSE,TRUE,FALSE,FALSE,TRUE,4 5 7,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,2,3,3,59,38,Dissatisfied,I often find myself staying on top of my health whenever possible
male,35-54,secondary,low,region1,Rural,2 4 5,FALSE,TRUE,FALSE,TRUE,TRUE,1 2 4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,3,4,70,34,Neutral,Personally I think keeping active outdoors depending on the season
male,18-34,tertiary or higher,high,region1,Rural,,FALSE,FALSE,FALSE,FALSE,FALSE,1 2 5,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,3,1,83,37,NA,Personally I think reading in my spare time even if it takes effort
female,35-54,tertiary or higher,low,region1,Rural,1 2 3,TRUE,TRUE,TRUE,FALSE,FALSE,3 6 7,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1,3,2,11,29,Neutral,Most of the time I managing my schedule depending on the season
female,35-54,secondary,middle,region2,Rural,4,FALSE,FALSE,FALSE,TRUE,FALSE,1 6 7,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5,3,5,60,29,Strongly dissatisfied,Most of the time I reading in my spare time and would recommend it
female,35-54,secondary,low,region3,Urban,1 3 4,TRUE,FALSE,TRUE,TRUE,FALSE,2 3 5,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,5,5,5,23,46,Dissatisfied,I would say cooking at home whenever possible
male,18-34,tertiary or higher,high,region3,Urban,5,FALSE,FALSE,FALSE,FALSE,TRUE,1 4 8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,2,2,102,30,Dissatisfied,Most of the time I meeting up with friends on a regular basis
female,18-34,tertiary or higher,low,region2,Rural,1 3,TRUE,FALSE,TRUE,FALSE,FALSE,2 3 4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3,3,1,93,28,Dissatisfied,I really enjoy keeping active outdoors on a regular basis
male,18-34,tertiary or higher,middle,region2,Rural,5,FALSE,FALSE,FALSE,FALSE,TRUE,1 4 5,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,5,3,108,43,NA,In my experience travelling when I can on a regular basis
male,35-54,secondary,high,region2,Rural,2 5,FALSE,TRUE,FALSE,FALSE,TRUE,4 5 8,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,3,3,5,54,25,Neutral,In my experience learning new things whenever possible
female,18-34,secondary,middle,region1,Rural,1 3,TRUE,FALSE,TRUE,FALSE,FALSE,5 6 8,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,4,3,5,95,34,Strongly dissatisfied,I really enjoy travelling when I can and would recommend it
female,18-34,secondary,low,region2,Rural,1 3 4,TRUE,FALSE,TRUE,TRUE,FALSE,3 7 8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,4,3,2,111,41,Strongly dissatisfied,Most of the time I managing my schedule though it can be difficult
female,18-34,tertiary or higher,high,region1,Rural,3 4 5,FALSE,FALSE,TRUE,TRUE,TRUE,2 3 4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4,4,4,40,33,Strongly dissatisfied,I really enjoy managing my schedule more than I used to
male,35-54,secondary,high,region3,Urban,2 5,FALSE,TRUE,FALSE,FALSE,TRUE,1 4 5,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,4,4,4,66,10,NA,Personally I think cooking at home and find it rewarding
male,35-54,tertiary or higher,middle,region1,Rural,2 4,FALSE,TRUE,FALSE,TRUE,FALSE,1 5 7,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,3,2,2,76,11,NA,I really enjoy meeting up with friends and would recommend it
male,18-34,primary,low,region3,Urban,4,FALSE,FALSE,FALSE,TRUE,FALSE,4 5 7,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,2,2,2,90,46,NA,I really enjoy meeting up with friends though it can be difficult
male,18-34,tertiary or higher,high,region1,Rural,2 4 5,FALSE,TRUE,FALSE,TRUE,TRUE,4 5 8,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,4,4,4,87,47,Dissatisfied,Personally I think meeting up with friends even if it takes effort
male,35-54,secondary,high,region3,Urban,1 2 5,TRUE,TRUE,FALSE,FALSE,TRUE,2 4 8,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,3,3,63,48,NA,In my experience cooking at home as much as I can
female,35-54,secondary,low,region1,Rural,2 4 5,FALSE,TRUE,FALSE,TRUE,TRUE,2 4 6,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,3,5,4,68,40,NA,I often find myself reading in my spare time as much as I can
female,18-34,secondary,middle,region3,Urban,1 4 5,TRUE,FALSE,FALSE,TRUE,TRUE,1 3 6,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,5,3,108,49,Neutral,I really enjoy learning new things and find it rewarding
male,18-34,primary,high,region3,Urban,1 3 5,TRUE,FALSE,TRUE,FALSE,TRUE,2 5 6,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,2,3,97,43,NA,I would say managing my schedule and find it rewarding
male,55+,secondary,high,region3,Urban,1 2 5,TRUE,TRUE,FALSE,FALSE,TRUE,4 5 7,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1,1,4,40,10,Neutral,I really enjoy learning new things and would recommend it
female,18-34,secondary,low,region3,Urban,1 2 4,TRUE,TRUE,FALSE,TRUE,FALSE,1 6 7,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4,5,1,100,46,Strongly dissatisfied,In my experience managing my schedule depending on the season
female,35-54,secondary,low,region3,Urban,1 3,TRUE,FALSE,TRUE,FALSE,FALSE,3 7 8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,2,5,61,12,NA,I often find myself spending time with family though it can be difficult
female,55+,secondary,low,region3,Urban,1 2 4,TRUE,TRUE,FALSE,TRUE,FALSE,4 6 8,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,4,3,2,25,7,NA,In my experience staying on top of my health and would recommend it
female,18-34,secondary,low,region3,Urban,1 3 4,TRUE,FALSE,TRUE,TRUE,FALSE,1 7 8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,3,3,90,40,Strongly dissatisfied,In my experience meeting up with friends and find it rewarding
female,18-34,tertiary or higher,high,region3,Urban,1 3,TRUE,FALSE,TRUE,FALSE,FALSE,3 6 7,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,4,4,4,63,46,Neutral,Personally I think reading in my spare time more than I used to
female,18-34,secondary,middle,region3,Urban,3 4 5,FALSE,FALSE,TRUE,TRUE,TRUE,5 6 7,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,4,5,2,106,34,Strongly dissatisfied,I really enjoy keeping active outdoors whenever possible
male,18-34,secondary,high,region1,Rural,1 4 5,TRUE,FALSE,FALSE,TRUE,TRUE,5 8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3,2,2,70,39,Strongly dissatisfied,I often find myself reading in my spare time though it can be difficult
female,55+,secondary,middle,region3,Urban,1 3 5,TRUE,FALSE,TRUE,FALSE,TRUE,2 3 7,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,5,15,18,Dissatisfied,I really enjoy travelling when I can on a regular basis
female,18-34,secondary,low,region2,Rural,1 3 4,TRUE,FALSE,TRUE,TRUE,FALSE,3 6 7,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1,4,5,92,19,Strongly dissatisfied,Most of the time I learning new things and would recommend it
female,35-54,tertiary or higher,high,region1,Rural,1 3 5,TRUE,FALSE,TRUE,FALSE,TRUE,3 4 5,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3,5,3,20,28,Dissatisfied,Personally I think keeping active outdoors as much as I can
female,35-54,secondary,middle,region1,Rural,1 3,TRUE,FALSE,TRUE,FALSE,FALSE,3 5 6,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,4,4,1,68,5,Strongly dissatisfied,I would say meeting up with friends when time allows
male,18-34,tertiary or higher,middle,region1,Rural,2 5,FALSE,TRUE,FALSE,FALSE,TRUE,4 5 7,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3,5,4,62,24,Neutral,I really enjoy learning new things even if it takes effort
female,55+,tertiary or higher,low,region3,Urban,1 3 4,TRUE,FALSE,TRUE,TRUE,FALSE,3 6,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3,5,3,47,6,NA,Most of the time I reading in my spare time and find it rewarding
female,35-54,secondary,low,region2,Rural,1 2 4,TRUE,TRUE,FALSE,TRUE,FALSE,3 6 7,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,3,3,3,56,28,Strongly dissatisfied,I often find myself managing my schedule on a regular basis
male,35-54,secondary,low,region1,Rural,4,FALSE,FALSE,FALSE,TRUE,FALSE,1 5,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,3,1,35,25,Neutral,I would say travelling when I can when time allows
male,18-34,secondary,middle,region3,Urban,5,FALSE,FALSE,FALSE,FALSE,TRUE,5 7 8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,1,1,4,113,40,NA,Most of the time I keeping active outdoors even if it takes effort
male,55+,tertiary or higher,middle,region3,Urban,5,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,5,4,40,15,NA,Personally I think spending time with family and find it rewarding
female,18-34,secondary,low,region1,Rural,1 3 4,TRUE,FALSE,TRUE,TRUE,FALSE,1 3 6,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,4,5,2,84,39,Neutral,I really enjoy managing my schedule as much as I can
female,35-54,secondary,high,region2,Rural,3 5,FALSE,FALSE,TRUE,FALSE,TRUE,2 4 7,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4,2,3,42,26,Neutral,I would say keeping active outdoors as much as I can
female,35-54,tertiary or higher,low,region2,Rural,1 3 4,TRUE,FALSE,TRUE,TRUE,FALSE,3 6 7,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1,5,3,45,16,NA,I would say staying on top of my health as much as I can
female,18-34,secondary,high,region3,Urban,2 4 5,FALSE,TRUE,FALSE,TRUE,TRUE,2 3 5,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,4,4,5,88,32,Dissatisfied,I often find myself managing my schedule when time allows
male,35-54,tertiary or higher,high,region3,Urban,1 5,TRUE,FALSE,FALSE,FALSE,TRUE,4 6 8,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3,2,3,64,36,NA,Personally I think managing my schedule and would recommend it
female,35-54,secondary,low,region1,Rural,4,FALSE,FALSE,FALSE,TRUE,FALSE,3 6,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3,5,2,46,18,Strongly dissatisfied,Most of the time I learning new things more than I used to
female,18-34,tertiary or higher,middle,region1,Rural,1 3,TRUE,FALSE,TRUE,FALSE,FALSE,6 7 8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4,4,2,81,42,Neutral,I would say spending time with family and find it rewarding
male,55+,tertiary or higher,low,region3,Urban,3 4,FALSE,FALSE,TRUE,TRUE,FALSE,2 7 8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,3,4,50,14,NA,Personally I think travelling when I can when time allows
male,35-54,secondary,low,region3,Urban,,FALSE,FALSE,FALSE,FALSE,FALSE,5 7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,5,2,1,19,24,NA,Most of the time I spending time with family and would recommend it
male,18-34,secondary,low,region3,Urban,3 5,FALSE,FALSE,TRUE,FALSE,TRUE,1 2 8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,1,2,71,29,Dissatisfied,I really enjoy cooking at home when time allows
female,35-54,tertiary or higher,low,region2,Rural,1 3,TRUE,FALSE,TRUE,FALSE,FALSE,3 6,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,5,3,3,34,9,Neutral,I would say managing my schedule and find it rewarding
female,35-54,tertiary or higher,high,region3,Urban,1 3 4,TRUE,FALSE,TRUE,TRUE,FALSE,3 4 5,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,4,4,3,75,14,Dissatisfied,I often find myself reading in my spare time and find it rewarding
male,18-34,tertiary or higher,middle,region1,Rural,2 4 5,FALSE,TRUE,FALSE,TRUE,TRUE,5 7 8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,1,2,2,116,37,NA,I would say travelling when I can on a regular basis
male,18-34,secondary,high,region1,Rural,2 5,FALSE,TRUE,FALSE,FALSE,TRUE,4 7 8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,2,2,3,88,25,NA,I would say spending time with family whenever possible
male,35-54,tertiary or higher,middle,region3,Urban,5,FALSE,FALSE,FALSE,FALSE,TRUE,1 2 8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,3,1,61,25,NA,Personally I think travelling when I can as much as I can
female,35-54,primary,low,region3,Urban,1 3 5,TRUE,FALSE,TRUE,FALSE,TRUE,2 6 7,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4,3,4,69,17,Dissatisfied,Most of the time I staying on top of my health whenever possible
female,18-34,tertiary or higher,high,region2,Rural,1 3 4,TRUE,FALSE,TRUE,TRUE,FALSE,4 6 8,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3,2,5,92,37,Dissatisfied,Most of the time I travelling when I can though it can be difficult
female,35-54,primary,middle,region1,Rural,1 2 3,TRUE,TRUE,TRUE,FALSE,FALSE,3 5 8,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,5,4,1,99,24,NA,I would say learning new things though it can be difficult
male,35-54,primary,low,region2,Rural,1 5,TRUE,FALSE,FALSE,FALSE,TRUE,5 7 8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3,3,1,74,42,NA,Personally I think keeping active outdoors more than I used to
male,35-54,tertiary or higher,middle,region1,Rural,4 5,FALSE,FALSE,FALSE,TRUE,TRUE,4 5 8,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,5,3,1,64,31,NA,In my experience travelling when I can more than I used to
